sim,radiotype,radio,carrier,mcc,mnc,area,cellid,enbrnc,lcid,xarfcn,unit,band,fc,sigl,asu,signal,lat,lon,acc,time,speed,bearing,alt,api,device,rsrq,rssnr,ss,cqi,ta,rssi_cdma,rssi_evdo,ecio_cdma,ecio_evdo,n_radiotype,n_xarfcn,n_unit,n_band,n_fc,n_signal,n_rsrq
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,61,-79,35.7661501,51.5629234,7.2,1.71844E+12,1.1,110.1,1595.9,33,Xiaomi_Redmi_Note_8,-17,-4,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,53,-87,35.7661062,51.5629726,8.1,1.71844E+12,1,125,1591.2,33,Xiaomi_Redmi_Note_8,-12,0,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,63,-77,35.7660669,51.563023,7.9,1.71844E+12,1.1,133,1591.2,33,Xiaomi_Redmi_Note_8,-10,16,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,57,-83,35.7660307,51.5630682,8.2,1.71844E+12,1.1,132.7,1591.2,33,Xiaomi_Redmi_Note_8,-11,6,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,53,-87,35.7660047,51.5631226,7.6,1.71844E+12,1.1,128.6,1595.9,33,Xiaomi_Redmi_Note_8,-13,-5,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,54,-86,35.7659893,51.5631445,7.6,1.71844E+12,0.2,107.2,1591.2,33,Xiaomi_Redmi_Note_8,-12,5,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,60,-80,35.7659899,51.5631334,5.4,1.71844E+12,0.2,221.1,1591.2,33,Xiaomi_Redmi_Note_8,-11,0,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,3,42,-98,35.7659898,51.5631342,5.1,1.71844E+12,0.1,-2000,1591.2,33,Xiaomi_Redmi_Note_8,-16,-5,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,66,-74,35.7659729,51.5631522,5.1,1.71844E+12,0.4,116.8,1591.2,33,Xiaomi_Redmi_Note_8,-10,12,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,55,-85,35.7659487,51.5631752,6,1.71844E+12,0.4,193.8,1597.3,33,Xiaomi_Redmi_Note_8,-13,-5,-1000,-1,-1,,,,,,,,,,,
